School,Type,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,Wins,Losses,Record,PF,PA,Differential,Latitude,Longitude,Capacity,AvgTemp,TotalRevenue,TicketSales,Contributions,Rights/Licensing,StudentFees,SchoolFunds,OtherIncome,GSR,FGR
Air Force,G5,Mt. West,Troy Calhoun,1800000,0,0,0,0,0,11,2,0.846,443,258,185,38.8673,-104.7605,46692,54.8,60101907,3579247,4294586,8307088,411723,40440239,2976899,80,0
Akron,G5,MAC,Tom Arth,500000,500000,120000,0,963000,1275000,0,12,0,126,435,-309,41.0802,-81.5219,30000,61.4,34601000,733786,1832215,3884160,0,26011378,4732946,75,61
Alabama,P5,SEC,Nick Saban,8707000,8857000,1100000,875000,7541277,34100000,11,2,0.846,614,242,372,33.2349,-87.5268,101821,77,177481937,39121024,7080674,75237810,0,9105151,33546230,85,65
Alabama at Birmingham,G5,C-USA,Bill Clark,1450000,1450000,1060000,228105,1270250,7012500,9,5,0.643,324,302,22,33.5276,-86.7986,71594,74.4,34736287,1592015,4864553,4284701,7259568,15849232,2644312,71,51
Appalachian State,G5,Sun Belt,Scott Satterfield,3250000,3250000,975000,0,3820000,12390625,13,1,0.929,543,280,263,36.2109,-81.6673,30000,62.2,36940867,3229228,4061695,6564890,12699362,9408580,2032757,75,67
Arizona,P5,Pac-12,Kevin Sumlin,1600000,2000000,2025000,0,2990000,10000000,4,8,0.333,323,429,-106,32.1558,-110.8777,56029,83.8,95867717,14584292,20914842,43655148,1896373,19989794,4050940,76,58
Arizona State,P5,Pac-12,Herm Edwards,2250000,2380000,3967500,50000,4035000,6937500,8,5,0.615,322,291,31,33.3881,-111.9318,56232,75.2,113636755,12872569,30588642,55459616,10957229,15092122,-3271338,75,60
Arkansas,P5,SEC,Chad Morris,4000000,4000000,1200000,0,4925000,10004167,2,10,0.167,257,442,-185,36.0713,-94.166,72000,60.6,130126110,40501312,23448380,71210874,0,2006861,330361,67,47
Arkansas State,G5,Sun Belt,Blake Anderson,825000,825182,185000,25000,1183300,500000,8,5,0.615,438,444,-6,35.8211,-90.6793,30964,70.8,40098989,1188228,8914892,5256332,4499209,9397873,6294058,80,62
Army,Ind,Ind.,Jeff Monken,1500000,0,0,0,0,0,5,8,0.385,370,299,71,41.3645,-74.0139,38000,62.2,0,0,0,0,,,,87,0
Auburn,P5,SEC,Gus Malzahn,6800000,6827589,1400000,125000,5902500,27050000,9,4,0.692,432,254,178,32.6084,-85.4897,87451,74.6,147620569,31925504,35280374,66146993,5933996,1848192,11320357,76,67
Ball State,G5,MAC,Mike Neu,444403,444403,380000,5000,984832,555503,5,7,0.417,418,377,41,40.1989,-85.395,22500,62.2,28634103,613973,501232,3093022,12933600,7617496,2919157,73,63
Baylor,P5,Big 12,Matt Rhule,4108734,4113734,0,0,1052253,0,11,3,0.786,471,277,194,31.5597,-97.1882,45140,79,0,0,0,0,,,,90,61
Boise State,G5,Mt. West,Bryan Harsin,1750000,1750000,1185000,195000,2127135,8201924,12,2,0.857,486,306,180,43.6135,-116.2035,36387,64,48109196,7016928,12662391,12728645,3601978,11421929,3167612,87,63
Boston College,P5,ACC,Steve Addazio,2643012,2643012,0,0,0,0,6,7,0.462,377,418,-41,42.3304,-71.1662,44500,61.8,0,0,0,0,,,,90,81
Bowling Green,G5,MAC,Scot Loeffler,530000,530000,190000,0,925860,2143750,3,9,0.25,192,463,-271,41.3772,-83.65,24000,61.2,24673957,2014099,2270931,3761758,12935182,2690000,2329214,80,69
Brigham Young,Ind,Ind.,Kalani Sitake,1500000,0,0,0,0,0,7,6,0.538,370,331,39,40.2458,-111.6457,63470,66.6,0,0,0,0,,,,64,43
Buffalo,G5,MAC,Lance Leipold,615000,615000,430000,40000,1148761,1898750,8,5,0.615,409,277,132,42.979,-78.7923,29013,59.2,40834648,1456665,5201383,3933198,9835072,22293734,3257900,79,64
California,P5,Pac-12,Justin Wilcox,2850000,2854000,900000,425000,4084100,13608334,8,5,0.615,276,285,-9,37.8723,-122.276,62717,69.2,91247489,11430872,15301922,53591394,444374,4714716,2017480,75,62
Central Florida,G5,AAC,Josh Heupel,2300000,2300000,250000,810010,2837000,4862500,10,3,0.769,564,299,265,28.4801,-81.3448,44206,83,61968057,5984236,10868415,17868939,23672595,8066472,2661230,84,64
Central Michigan,G5,MAC,Jim McElwain,640900,640900,415000,0,965000,2000000,8,6,0.571,426,396,30,43.5966,-84.7758,30255,57.6,39989495,805309,3033926,3794967,0,25228204,2080168,77,64
Charlotte,G5,C-USA,Will Healy,700000,700000,1365000,0,1220500,1875000,7,6,0.538,388,421,-33,35.208,-80.8308,15314,71,37919619,1428436,5484455,4030682,22162361,5625145,2135351,80,0
Cincinnati,G5,AAC,Luke Fickell,2300000,2300000,625000,210000,2710000,4800000,11,3,0.786,415,288,127,39.1412,-84.506,40000,66,61778960,7736020,6912701,16330274,0,29702420,8164257,85,65
Clemson,P5,ACC,Dabo Swinney,9255000,9315600,1125000,1075000,7410000,50000000,14,1,0.933,659,203,456,34.6841,-82.8124,81500,72.6,120532975,28717237,44219996,46195782,0,5602440,9126060,81,61
Coastal Carolina,G5,Sun Belt,Jamey Chadwell,360000,360000,800000,0,1162371,1053125,5,7,0.417,364,366,-2,33.8406,-79.0418,20000,76,36392897,779788,4069189,3774024,4765546,22764940,1732341,79,59
Colorado,P5,Pac-12,Mel Tucker,2400000,2400000,1525000,0,3155000,9800000,5,7,0.417,282,382,-100,40.0274,-105.2514,50183,65.6,89581544,14030529,17862192,43322714,1549105,10733920,7436738,83,55
Colorado State,G5,Mt. West,Mike Bobo,1800000,1800000,905000,0,1949875,5500000,4,8,0.333,337,374,-37,40.5487,-105.0656,41200,63.6,54728814,5784735,9482232,13343529,5957227,17978116,3535540,77,68
Connecticut,G5,AAC,Randy Edsall,1606000,1606000,650000,56000,1810875,0,2,10,0.167,227,486,-259,41.7634,-72.6152,40000,62,79308421,7669700,6768407,19574548,8784900,35071584,3031265,81,74
Duke,P5,ACC,David Cutcliffe,2669345,2669345,0,0,0,0,5,7,0.417,303,350,-47,35.9801,-78.9045,40000,70.8,0,0,0,0,,,,96,90
